clip_id,category,accent,domain,language,voice,reference_text,generated_audio,gnani_tts_latency_sec,whisper_transcript,whisper_latency_sec,normalized_reference,normalized_hypothesis,wer,cer,w_subs,w_dels,w_ins,c_subs,c_dels,c_ins,evaluation_status,notes,pronunciation_correctness,intelligibility,naturalness,prosody,overall_quality,human_comments
medical_0000,Medical,,,,,"Take metformin, take A to Z multivitamin capsules. What else? Take thyroxine 25 mcg tablet thrice a day.",,,,,,,,,,,,,,,failed,"TTS failed: HTTPSConnectionPool(host='api.gnani.ai', port=443): Max retries exceeded with url: /v1/tts/inference (Caused by NameResolutionError(""HTTPSConnection(host='api.gnani.ai', port=443): Failed to resolve 'api.gnani.ai' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,
medical_0001,Medical,,,,,Thanks.,,,,,,,,,,,,,,,failed,"TTS failed: HTTPSConnectionPool(host='api.gnani.ai', port=443): Max retries exceeded with url: /v1/tts/inference (Caused by NameResolutionError(""HTTPSConnection(host='api.gnani.ai', port=443): Failed to resolve 'api.gnani.ai' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,
medical_0002,Medical,,,,,"My suggestion is you should do a little bit of, gargling in the morning as soon as you get up. Also avoid spicy food.",,,,,,,,,,,,,,,failed,"TTS failed: HTTPSConnectionPool(host='api.gnani.ai', port=443): Max retries exceeded with url: /v1/tts/inference (Caused by NameResolutionError(""HTTPSConnection(host='api.gnani.ai', port=443): Failed to resolve 'api.gnani.ai' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,
medical_0003,Medical,,,,,your Symptoms suggest that you have a URTI infection. And should be fine within a week's time.,,,,,,,,,,,,,,,failed,"TTS failed: HTTPSConnectionPool(host='api.gnani.ai', port=443): Max retries exceeded with url: /v1/tts/inference (Caused by NameResolutionError(""HTTPSConnection(host='api.gnani.ai', port=443): Failed to resolve 'api.gnani.ai' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,
medical_0004,Medical,,,,,"So, let's prescribe you one Zincovit, once in a day. For your eyes, use Pataday eye drops.",,,,,,,,,,,,,,,failed,"TTS failed: HTTPSConnectionPool(host='api.gnani.ai', port=443): Max retries exceeded with url: /v1/tts/inference (Caused by NameResolutionError(""HTTPSConnection(host='api.gnani.ai', port=443): Failed to resolve 'api.gnani.ai' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,
medical_0005,Medical,,,,,"Give me, give him Dolo, give him, Allegra. Also make sure that you gargle using warm water.",,,,,,,,,,,,,,,failed,"TTS failed: HTTPSConnectionPool(host='api.gnani.ai', port=443): Max retries exceeded with url: /v1/tts/inference (Caused by NameResolutionError(""HTTPSConnection(host='api.gnani.ai', port=443): Failed to resolve 'api.gnani.ai' ([Errno 8] nodename nor servname provided, or not known)""))",,,,,,
medical_0000,Medical,,,,,"Take metformin, take A to Z multivitamin capsules. What else? Take thyroxine 25 mcg tablet thrice a day.",,,,,,,,,,,,,,,failed,File Not Found (/audio/transcriptions),,,,,,
medical_0000,Medical,,,,,"Take metformin, take A to Z multivitamin capsules. What else? Take thyroxine 25 mcg tablet thrice a day.",,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0000,Medical,,,,,"Take metformin, take A to Z multivitamin capsules. What else? Take thyroxine 25 mcg tablet thrice a day.",,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0001,Medical,,,,,Thanks.,,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0002,Medical,,,,,"My suggestion is you should do a little bit of, gargling in the morning as soon as you get up. Also avoid spicy food.",,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0003,Medical,,,,,your Symptoms suggest that you have a URTI infection. And should be fine within a week's time.,,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0004,Medical,,,,,"So, let's prescribe you one Zincovit, once in a day. For your eyes, use Pataday eye drops.",,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0005,Medical,,,,,"Give me, give him Dolo, give him, Allegra. Also make sure that you gargle using warm water.",,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0006,Medical,,,,,clear?,,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0007,Medical,,,,,And avoid junk food.,,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0008,Medical,,,,,Patient is allergic to Dolo 650. Patient consumes alcohol 5 times a week. Currently smokes. I prescribe crocin 650 and I suggest getting CBC lab test done.,,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0009,Medical,,,,,Pulsary 25 per minute body temperature 32. Patient is currently having kidney stones.,,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0010,Medical,,,,,diabetes for father diabetes in medical conditions since 3 years,,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0011,Medical,,,,,"Dolo 650 tablet thrice a day after meals for 5 days. Panto DSR 40 for 6 days, once a day before breakfast, and give gelusil tablet, give Eno sachet, and also take Calpol, take glimepiride.",,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0012,Medical,,,,,"Zecuf cough syrup 3 times a day for 5 days. Allegra, 120 mg 2 times a day for 5 days, and vitamin D and B 3 times a day for a week.",,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0013,Medical,,,,,"Advices is take some steam and take rest and have fun, whatever.",,,,,,,,,,,,,,,failed,File Not Found (/v1/audio/transcriptions),,,,,,
medical_0000,Medical,,misc_medical,en-IN,Yashvi,"Take metformin, take A to Z multivitamin capsules. What else? Take thyroxine 25 mcg tablet thrice a day.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0000.wav,3.2198,"Take Metformin, take A to Z multivitamin capsules.
 What else?
 Take thyroxine 25 micrograms tablet thrice a day.",1.119,take metformin take a to z multivitamin capsules what else take thyroxine 25 mcg tablet thrice a day,take metformin take a to z multivitamin capsules what else take thyroxine 25 micrograms tablet thrice a day,0.05555555555555555,0.08433734939759036,1,0,0,0,0,7,ok,,,,,,,
medical_0001,Medical,,misc_medical,en-IN,Yashvi,Thanks.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0001.wav,0.5323,Thanks.,0.7347,thanks,thanks,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0002,Medical,,misc_medical,en-IN,Yashvi,"My suggestion is you should do a little bit of, gargling in the morning as soon as you get up. Also avoid spicy food.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0002.wav,2.321,"My suggestion is you should do a little bit of gargling in the morning as soon as you get up.
 Also avoid spicy food.",1.0173,my suggestion is you should do a little bit of gargling in the morning as soon as you get up also avoid spicy food,my suggestion is you should do a little bit of gargling in the morning as soon as you get up also avoid spicy food,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0003,Medical,,misc_medical,en-IN,Yashvi,your Symptoms suggest that you have a URTI infection. And should be fine within a week's time.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0003.wav,1.5977,Your symptoms suggest that you have a URTI infection and should be fine within a week's time.,0.9157,your symptoms suggest that you have a urti infection and should be fine within a weeks time,your symptoms suggest that you have a urti infection and should be fine within a weeks time,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0004,Medical,,misc_medical,en-IN,Yashvi,"So, let's prescribe you one Zincovit, once in a day. For your eyes, use Pataday eye drops.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0004.wav,5.9368,"So, let's prescribe you one Zincuvit once in a day.
 For your eyes, use Patade eye drops.",1.0132,so lets prescribe you one zincovit once in a day for your eyes use pataday eye drops,so lets prescribe you one zincuvit once in a day for your eyes use patade eye drops,0.11764705882352941,0.04411764705882353,2,0,0,2,1,0,ok,,,,,,,
medical_0005,Medical,,misc_medical,en-IN,Yashvi,"Give me, give him Dolo, give him, Allegra. Also make sure that you gargle using warm water.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0005.wav,1.2574,"Give him Dolo, give him Allegra.
 Also make sure that you gargle using warm water.",0.9456,give me give him dolo give him allegra also make sure that you gargle using warm water,give him dolo give him allegra also make sure that you gargle using warm water,0.11764705882352941,0.08571428571428572,0,2,0,0,6,0,ok,,,,,,,
medical_0006,Medical,,misc_medical,en-IN,Yashvi,clear?,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0006.wav,0.4198,clear.,0.731,clear,clear,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0007,Medical,,misc_medical,en-IN,Yashvi,And avoid junk food.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0007.wav,1.6728,and avoid junk food.,0.7649,and avoid junk food,and avoid junk food,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0008,Medical,,misc_medical,en-IN,Yashvi,Patient is allergic to Dolo 650. Patient consumes alcohol 5 times a week. Currently smokes. I prescribe crocin 650 and I suggest getting CBC lab test done.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0008.wav,2.317,"Patient is allergic to Dolo 650.
 Patient consumes alcohol 5 times a week.
 Currently smokes.
 I prescribe Crosin 650 and I suggest getting CBC lab test done.",1.1178,patient is allergic to dolo 650 patient consumes alcohol 5 times a week currently smokes i prescribe crocin 650 and i suggest getting cbc lab test done,patient is allergic to dolo 650 patient consumes alcohol 5 times a week currently smokes i prescribe crosin 650 and i suggest getting cbc lab test done,0.037037037037037035,0.008,1,0,0,1,0,0,ok,,,,,,,
medical_0009,Medical,,misc_medical,en-IN,Yashvi,Pulsary 25 per minute body temperature 32. Patient is currently having kidney stones.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0009.wav,2.6616,"Pulsary 25/min, body temperature 32.
 Patient is currently having kidney stones.",0.9228,pulsary 25 per minute body temperature 32 patient is currently having kidney stones,pulsary 25min body temperature 32 patient is currently having kidney stones,0.23076923076923078,0.08450704225352113,1,2,0,0,6,0,ok,,,,,,,
medical_0010,Medical,,misc_medical,en-IN,Yashvi,diabetes for father diabetes in medical conditions since 3 years,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0010.wav,1.3421,Diabetes for Father Diabetes in Medical Conditions since 3 years.,0.862,diabetes for father diabetes in medical conditions since 3 years,diabetes for father diabetes in medical conditions since 3 years,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
